Time,U,AI1,AI2,AD,BI2,BI2,BD,VA,VB
0.00,7394.00,1.00,0.00,0.00,1.00,0.00,0.00,75.00,75.00
0.01,7394.00,1.00,0.00,0.00,1.00,0.00,0.00,68.47,68.47
0.01,7392.00,1.00,0.00,0.00,3.00,0.00,0.00,62.51,62.51
0.02,7392.00,1.00,0.00,0.00,3.00,0.00,0.00,57.06,57.06
0.03,7390.00,2.00,0.00,0.00,4.00,0.00,0.00,52.10,52.10
0.03,7388.00,3.00,0.00,0.00,5.00,0.00,0.00,47.56,47.56
0.04,7388.00,3.00,0.00,0.00,5.00,0.00,0.00,43.42,43.42
0.05,7388.00,2.00,1.00,0.00,5.00,0.00,0.00,189.87,39.64
0.06,7385.00,4.00,1.00,0.00,5.00,1.00,0.00,323.57,51.21
0.06,7383.00,6.00,1.00,0.00,5.00,1.00,0.00,445.62,61.77
0.07,7380.00,9.00,1.00,0.00,5.00,1.00,0.00,557.05,71.42
0.08,7379.00,10.00,1.00,0.00,5.00,1.00,0.00,658.78,80.22
0.08,7377.00,12.00,1.00,0.00,5.00,1.00,0.00,751.64,88.26
0.09,7374.00,15.00,1.00,0.00,5.00,1.00,0.00,836.43,95.60
0.10,7372.00,15.00,2.00,0.00,6.00,1.00,0.00,1064.06,102.30
0.10,7370.00,17.00,2.00,0.00,6.00,1.00,0.00,1271.86,108.41
0.11,7366.00,20.00,3.00,0.00,6.00,1.00,0.00,1611.81,113.99
0.12,7363.00,22.00,3.00,0.00,7.00,1.00,0.00,1922.15,119.09
0.12,7357.00,25.00,4.00,0.00,9.00,1.00,0.00,2355.71,123.74
0.13,7353.00,29.00,4.00,0.00,9.00,1.00,0.00,2751.51,127.99
0.14,7347.00,33.00,5.00,0.00,9.00,2.00,0.00,3263.07,146.89
0.15,7340.00,38.00,6.00,0.00,10.00,2.00,0.00,3880.32,164.15
0.15,7331.00,43.00,9.00,0.00,10.00,3.00,0.00,4894.52,194.93
0.16,7317.00,55.00,11.00,0.00,10.00,2.00,1.00,6120.87,208.00
0.17,7304.00,62.00,13.00,1.00,13.00,2.00,1.00,7540.90,219.93
0.17,7296.00,67.00,15.00,1.00,14.00,2.00,1.00,9137.74,230.83
0.18,7277.00,83.00,17.00,1.00,15.00,2.00,1.00,10895.99,240.77
0.19,7268.00,87.00,20.00,1.00,17.00,2.00,1.00,12951.84,249.86
