Time,U,AI1,AI2,AD,BI2,BI2,BD,VA,VB
0.00,7393.00,1.00,1.00,0.00,1.00,0.00,0.00,225.23,75.00
0.01,7391.00,3.00,1.00,0.00,1.00,0.00,0.00,355.13,68.47
0.01,7390.00,4.00,1.00,0.00,1.00,0.00,0.00,473.30,62.51
0.02,7387.00,5.00,1.00,0.00,3.00,0.00,0.00,580.80,57.06
0.03,7387.00,5.00,1.00,0.00,3.00,0.00,0.00,678.60,52.10
0.03,7385.00,5.00,2.00,0.00,4.00,0.00,0.00,917.80,47.56
0.04,7384.00,6.00,2.00,0.00,4.00,0.00,0.00,1135.41,43.42
0.05,7383.00,5.00,3.00,0.00,5.00,0.00,0.00,1483.60,39.64
0.06,7380.00,7.00,4.00,0.00,5.00,0.00,0.00,1950.59,36.19
0.06,7380.00,7.00,4.00,0.00,5.00,0.00,0.00,2375.42,33.03
0.07,7379.00,8.00,4.00,0.00,5.00,0.00,0.00,2761.90,30.16
0.08,7376.00,11.00,4.00,0.00,5.00,0.00,0.00,3113.48,27.53
0.08,7375.00,12.00,4.00,0.00,5.00,0.00,0.00,3433.33,25.13
0.09,7375.00,10.00,6.00,0.00,5.00,0.00,0.00,4024.77,22.95
0.10,7375.00,10.00,6.00,0.00,5.00,0.00,0.00,4562.81,20.95
0.10,7375.00,10.00,6.00,0.00,5.00,0.00,0.00,5052.27,19.12
0.11,7374.00,10.00,7.00,0.00,5.00,0.00,0.00,5647.79,17.46
0.12,7369.00,15.00,5.00,2.00,5.00,0.00,0.00,5889.07,15.94
0.12,7364.00,18.00,5.00,3.00,6.00,0.00,0.00,6108.58,14.55
0.13,7359.00,23.00,5.00,3.00,5.00,1.00,0.00,6308.27,28.31
0.14,7358.00,23.00,6.00,3.00,5.00,1.00,0.00,6640.16,40.87
0.15,7356.00,25.00,6.00,3.00,5.00,1.00,0.00,6942.09,52.33
0.15,7355.00,26.00,6.00,3.00,4.00,2.00,0.00,7216.76,77.82
0.16,7352.00,25.00,8.00,3.00,6.00,2.00,0.00,7767.10,101.09
0.17,7349.00,27.00,8.00,3.00,7.00,2.00,0.00,8267.75,122.33
0.17,7348.00,26.00,10.00,3.00,7.00,2.00,0.00,9023.67,141.73
0.18,7347.00,26.00,11.00,3.00,6.00,3.00,0.00,9861.58,174.46
0.19,7345.00,28.00,11.00,3.00,6.00,3.00,0.00,10623.84,204.33
0.19,7340.00,26.00,13.00,4.00,10.00,3.00,0.00,11617.75,231.61
0.20,7338.00,24.00,13.00,7.00,9.00,5.00,0.00,12521.93,286.56
0.21,7336.00,25.00,13.00,7.00,10.00,5.00,0.00,13344.49,336.72
0.22,7325.00,29.00,14.00,7.00,16.00,5.00,0.00,14243.02,382.52
0.22,7318.00,28.00,16.00,8.00,21.00,5.00,0.00,15360.89,424.32
0.23,7315.00,30.00,16.00,8.00,22.00,5.00,0.00,16377.85,462.49
0.24,7310.00,32.00,17.00,8.00,23.00,6.00,0.00,17453.22,512.36
0.24,7302.00,37.00,18.00,8.00,24.00,7.00,0.00,18581.75,572.91
0.25,7293.00,35.00,22.00,8.00,30.00,8.00,0.00,20209.32,643.21
0.26,7288.00,36.00,24.00,8.00,32.00,8.00,0.00,21990.42,707.38
0.26,7280.00,34.00,27.00,9.00,37.00,9.00,0.00,24061.42,780.99
0.27,7268.00,42.00,26.00,10.00,40.00,10.00,0.00,25795.22,863.22
0.28,7264.00,40.00,29.00,10.00,42.00,11.00,0.00,27823.20,953.31
0.28,7254.00,41.00,30.00,10.00,45.00,16.00,0.00,29818.32,1110.67
0.29,7241.00,43.00,35.00,10.00,47.00,19.00,1.00,32384.49,1299.40
0.30,7233.00,46.00,33.00,12.00,52.00,19.00,1.00,34418.52,1471.69
0.31,7222.00,48.00,34.00,13.00,55.00,21.00,3.00,36419.16,1659.03
0.31,7216.00,48.00,35.00,15.00,58.00,20.00,4.00,38389.42,1815.03
0.32,7204.00,53.00,36.00,15.00,64.00,20.00,4.00,40332.03,1957.44
0.33,7196.00,53.00,40.00,16.00,64.00,23.00,4.00,42700.20,2132.53
0.33,7186.00,55.00,40.00,18.00,68.00,25.00,4.00,44854.58,2322.42
0.34,7176.00,56.00,42.00,18.00,74.00,26.00,4.00,47114.92,2510.79
0.35,7155.00,63.00,44.00,18.00,84.00,27.00,5.00,49471.67,2697.79
0.35,7134.00,69.00,44.00,18.00,96.00,28.00,7.00,51615.66,2883.52
0.36,7126.00,71.00,45.00,18.00,98.00,31.00,7.00,53716.32,3098.15
0.37,7114.00,78.00,46.00,19.00,98.00,34.00,7.00,55777.57,3339.16
0.38,7095.00,83.00,47.00,20.00,107.00,37.00,7.00,57802.97,3604.26
0.38,7085.00,85.00,47.00,22.00,110.00,38.00,9.00,59645.52,3861.29
0.39,7068.00,89.00,47.00,22.00,121.00,39.00,10.00,61321.73,4110.97
0.40,7054.00,90.00,47.00,24.00,129.00,40.00,12.00,62846.61,4353.93
0.40,7047.00,92.00,48.00,24.00,130.00,43.00,12.00,64384.06,4620.80
0.41,7033.00,87.00,53.00,26.00,140.00,44.00,13.00,66533.87,4879.46
0.42,7019.00,87.00,53.00,28.00,146.00,50.00,13.00,68489.60,5205.73
0.42,7005.00,87.00,58.00,28.00,147.00,57.00,14.00,71019.93,5608.75
0.43,6995.00,85.00,58.00,30.00,155.00,59.00,14.00,73321.82,6006.73
0.44,6983.00,89.00,60.00,30.00,155.00,64.00,15.00,75716.37,6445.17
