Time,U,AI1,AI2,AD,BI2,BI2,BD,VA,VB
0.00,7394.00,0.00,0.00,0.00,2.00,0.00,0.00,75.00,75.00
0.01,7393.00,1.00,0.00,0.00,2.00,0.00,0.00,68.23,68.47
0.01,7392.00,1.00,0.00,0.00,3.00,0.00,0.00,62.07,62.51
0.02,7390.00,2.00,0.00,0.00,4.00,0.00,0.00,56.47,57.06
0.03,7389.00,2.00,0.00,0.00,5.00,0.00,0.00,51.37,52.10
0.03,7384.00,2.00,0.00,0.00,10.00,0.00,0.00,46.73,47.56
0.04,7383.00,2.00,0.00,0.00,11.00,0.00,0.00,42.51,43.42
0.05,7381.00,4.00,0.00,0.00,11.00,0.00,0.00,38.67,39.64
0.06,7380.00,4.00,0.00,0.00,12.00,0.00,0.00,35.18,36.19
0.06,7380.00,4.00,0.00,0.00,12.00,0.00,0.00,32.01,33.03
0.07,7380.00,4.00,0.00,0.00,12.00,0.00,0.00,29.12,30.16
0.08,7379.00,4.00,0.00,0.00,12.00,1.00,0.00,26.49,42.56
0.08,7378.00,5.00,0.00,0.00,11.00,2.00,0.00,24.10,68.90
0.09,7377.00,5.00,0.00,0.00,12.00,2.00,0.00,21.92,92.94
0.10,7377.00,5.00,0.00,0.00,11.00,3.00,0.00,19.94,129.92
0.10,7374.00,6.00,0.00,0.00,13.00,2.00,1.00,18.14,148.65
0.11,7371.00,6.00,0.00,0.00,16.00,2.00,1.00,16.50,165.76
0.12,7368.00,6.00,0.00,0.00,18.00,3.00,1.00,15.01,196.39
0.12,7368.00,6.00,0.00,0.00,17.00,4.00,1.00,13.66,239.38
0.13,7367.00,6.00,0.00,0.00,17.00,5.00,1.00,12.43,293.65
0.14,7365.00,7.00,0.00,0.00,18.00,5.00,1.00,11.30,343.20
0.15,7365.00,7.00,0.00,0.00,17.00,6.00,1.00,10.28,403.45
0.15,7362.00,7.00,0.00,0.00,19.00,7.00,1.00,9.36,473.48
0.16,7359.00,7.00,0.00,0.00,22.00,7.00,1.00,8.51,537.42
0.17,7353.00,7.00,0.00,0.00,28.00,7.00,1.00,7.74,595.78
0.17,7348.00,7.00,0.00,0.00,32.00,7.00,2.00,7.04,649.07
0.18,7345.00,7.00,0.00,0.00,34.00,8.00,2.00,6.41,712.73
0.19,7342.00,7.00,0.00,0.00,36.00,9.00,2.00,5.83,785.88
0.19,7338.00,7.00,0.00,0.00,39.00,10.00,2.00,5.30,867.68
0.20,7333.00,7.00,0.00,0.00,42.00,12.00,2.00,4.82,972.40
0.21,7329.00,7.00,0.00,0.00,45.00,13.00,2.00,4.39,1083.03
0.22,7325.00,7.00,0.00,0.00,47.00,15.00,2.00,3.99,1214.07
0.22,7315.00,7.00,0.00,0.00,56.00,16.00,2.00,3.63,1348.73
0.23,7308.00,7.00,0.00,0.00,63.00,15.00,3.00,3.30,1456.63
0.24,7304.00,6.00,1.00,0.00,67.00,14.00,4.00,18.03,1540.12
0.24,7293.00,6.00,1.00,0.00,75.00,17.00,4.00,31.42,1661.40
0.25,7282.00,4.00,3.00,0.00,85.00,18.00,4.00,73.66,1787.15
0.26,7272.00,4.00,3.00,0.00,93.00,20.00,4.00,112.08,1932.00
0.26,7266.00,4.00,3.00,0.00,98.00,20.00,5.00,147.03,2064.23
0.27,7261.00,5.00,3.00,0.00,96.00,25.00,6.00,178.82,2260.06
0.28,7252.00,5.00,2.00,1.00,102.00,28.00,6.00,192.73,2483.91
0.28,7240.00,6.00,2.00,1.00,109.00,32.00,6.00,205.37,2748.36
0.29,7229.00,6.00,2.00,1.00,117.00,34.00,7.00,216.88,3019.83
0.30,7219.00,7.00,2.00,1.00,123.00,37.00,7.00,227.35,3312.73
0.31,7202.00,8.00,2.00,1.00,134.00,41.00,8.00,236.87,3640.22
0.31,7185.00,8.00,3.00,1.00,147.00,43.00,9.00,260.55,3969.24
0.32,7168.00,8.00,3.00,1.00,158.00,47.00,11.00,282.10,4329.70
0.33,7149.00,8.00,3.00,1.00,173.00,50.00,12.00,301.70,4703.85
0.33,7132.00,8.00,3.00,1.00,186.00,52.00,14.00,319.54,5075.46
0.34,7116.00,10.00,4.00,1.00,195.00,55.00,15.00,350.78,5459.78
0.35,7098.00,10.00,4.00,1.00,208.00,57.00,18.00,379.21,5840.68
0.35,7075.00,11.00,3.00,2.00,224.00,61.00,20.00,390.04,6248.51
0.36,7056.00,11.00,3.00,2.00,236.00,66.00,22.00,399.90,6695.94
0.37,7032.00,10.00,4.00,2.00,255.00,70.00,23.00,423.89,7164.50
0.38,7015.00,10.00,4.00,2.00,265.00,75.00,25.00,445.71,7667.38
0.38,6990.00,11.00,3.00,3.00,284.00,76.00,29.00,450.55,8141.49
0.39,6967.00,12.00,3.00,3.00,301.00,79.00,31.00,454.94,8619.39
0.40,6947.00,12.00,3.00,3.00,311.00,87.00,33.00,458.94,9175.86
0.40,6923.00,12.00,3.00,3.00,322.00,100.00,33.00,462.58,9879.18
0.41,6891.00,13.00,3.00,3.00,346.00,102.00,38.00,465.89,10551.30
0.42,6862.00,13.00,3.00,3.00,367.00,110.00,38.00,468.90,11285.08
0.42,6846.00,12.00,6.00,3.00,376.00,112.00,41.00,516.70,11985.01
0.43,6815.00,12.00,6.00,3.00,397.00,118.00,45.00,560.20,12714.13
0.44,6782.00,13.00,6.00,3.00,412.00,134.00,46.00,599.76,13620.13
0.44,6743.00,15.00,6.00,3.00,433.00,148.00,48.00,635.75,14657.57
0.45,6718.00,16.00,6.00,3.00,443.00,162.00,48.00,668.50,15814.99
0.46,6692.00,17.00,6.00,3.00,457.00,172.00,49.00,698.29,17021.86
0.47,6643.00,17.00,6.00,4.00,493.00,181.00,52.00,725.39,18258.85
0.47,6603.00,17.00,7.00,4.00,521.00,188.00,56.00,765.06,19493.29
0.48,6565.00,19.00,7.00,4.00,543.00,201.00,57.00,801.16,20815.54
0.49,6526.00,18.00,8.00,4.00,562.00,218.00,60.00,849.01,22278.05
0.49,6490.00,20.00,7.00,5.00,580.00,231.00,63.00,877.53,23808.51
0.50,6450.00,19.00,8.00,5.00,602.00,247.00,65.00,918.49,25446.07
0.51,6406.00,22.00,7.00,6.00,631.00,257.00,67.00,940.74,27091.27
0.51,6376.00,21.00,9.00,6.00,647.00,268.00,69.00,991.02,28758.47
0.52,6333.00,21.00,9.00,6.00,665.00,292.00,70.00,1036.76,30641.05
0.53,6277.00,22.00,8.00,7.00,695.00,313.00,74.00,1063.35,32675.19
0.53,6221.00,22.00,7.00,8.00,733.00,328.00,77.00,1072.51,34757.55
0.54,6179.00,25.00,7.00,8.00,751.00,345.00,81.00,1080.85,36913.98
0.55,6139.00,24.00,7.00,9.00,774.00,361.00,82.00,1088.43,39123.01
0.56,6101.00,21.00,9.00,10.00,786.00,384.00,85.00,1125.38,41485.21
0.56,6050.00,24.00,10.00,10.00,811.00,402.00,89.00,1174.02,43912.14
0.57,6006.00,23.00,11.00,10.00,839.00,414.00,93.00,1233.28,46308.02
0.58,5955.00,24.00,12.00,10.00,869.00,428.00,98.00,1302.22,48705.60
0.58,5909.00,24.00,13.00,10.00,894.00,444.00,102.00,1379.96,51134.78
0.59,5862.00,24.00,12.00,11.00,912.00,471.00,104.00,1435.66,53758.06
0.60,5814.00,24.00,13.00,11.00,939.00,488.00,107.00,1501.35,56408.31
0.60,5750.00,25.00,14.00,11.00,970.00,516.00,110.00,1576.14,59248.43
0.61,5701.00,26.00,13.00,12.00,992.00,537.00,115.00,1629.15,62156.74
0.62,5661.00,26.00,13.00,12.00,1000.00,561.00,123.00,1677.37,65172.35
0.62,5605.00,27.00,13.00,12.00,1023.00,587.00,129.00,1721.24,68315.98
0.63,5555.00,30.00,12.00,14.00,1040.00,613.00,132.00,1746.13,71576.47
0.64,5497.00,31.00,14.00,14.00,1068.00,629.00,143.00,1798.82,74793.42
0.65,5450.00,31.00,16.00,14.00,1085.00,655.00,145.00,1876.80,78120.86
0.65,5400.00,32.00,16.00,14.00,1108.00,676.00,150.00,1947.73,81474.04
0.66,5344.00,32.00,17.00,14.00,1136.00,700.00,153.00,2027.29,84895.79
0.67,5287.00,34.00,16.00,15.00,1164.00,720.00,160.00,2084.64,88320.06
0.67,5229.00,33.00,17.00,15.00,1200.00,741.00,161.00,2151.84,91761.63
0.68,5165.00,36.00,17.00,15.00,1214.00,786.00,163.00,2212.97,95579.57
0.69,5109.00,36.00,17.00,15.00,1222.00,832.00,165.00,2268.58,99756.13
0.69,5057.00,33.00,19.00,16.00,1237.00,864.00,170.00,2349.22,104049.74
0.70,4995.00,34.00,19.00,16.00,1253.00,906.00,173.00,2422.57,108600.46
0.71,4929.00,37.00,19.00,16.00,1270.00,944.00,181.00,2489.31,113325.79
0.72,4860.00,36.00,19.00,17.00,1298.00,980.00,186.00,2550.02,118180.50
0.72,4798.00,36.00,17.00,20.00,1329.00,1002.00,194.00,2575.20,122942.99
0.73,4724.00,40.00,17.00,21.00,1357.00,1038.00,199.00,2598.11,127831.61
0.74,4672.00,38.00,19.00,21.00,1368.00,1070.00,208.00,2649.00,132775.28
0.74,4609.00,39.00,18.00,22.00,1387.00,1104.00,217.00,2680.27,137799.27
0.75,4552.00,39.00,20.00,22.00,1410.00,1127.00,226.00,2738.76,142731.32
0.76,4494.00,41.00,19.00,23.00,1425.00,1164.00,230.00,2776.95,147789.77
0.76,4432.00,37.00,21.00,25.00,1446.00,1196.00,239.00,2841.74,152888.48
0.77,4367.00,39.00,22.00,26.00,1454.00,1243.00,245.00,2915.71,158249.31
0.78,4291.00,41.00,23.00,26.00,1492.00,1273.00,250.00,2998.01,163594.03
0.78,4233.00,41.00,23.00,26.00,1509.00,1308.00,256.00,3072.89,168999.16
0.79,4173.00,41.00,26.00,26.00,1515.00,1358.00,257.00,3186.08,174684.79
0.80,4127.00,37.00,30.00,26.00,1519.00,1391.00,266.00,3349.14,180371.10
0.81,4048.00,39.00,30.00,26.00,1552.00,1426.00,275.00,3497.48,186088.08
0.81,3994.00,42.00,30.00,26.00,1556.00,1467.00,281.00,3632.43,191923.20
0.82,3918.00,44.00,29.00,27.00,1585.00,1497.00,296.00,3740.17,197700.91
0.83,3852.00,43.00,30.00,27.00,1607.00,1533.00,304.00,3853.21,203516.35
0.83,3784.00,45.00,28.00,29.00,1625.00,1573.00,312.00,3926.00,209426.34
0.84,3717.00,43.00,32.00,29.00,1658.00,1600.00,317.00,4052.31,215227.33
0.85,3647.00,42.00,33.00,31.00,1668.00,1655.00,320.00,4182.24,221349.46
