Time,U,AI1,AI2,AD,BI2,BI2,BD,VA,VB
0.00,7394.00,0.00,0.00,0.00,2.00,0.00,0.00,75.00,75.00
0.01,7393.00,1.00,0.00,0.00,2.00,0.00,0.00,68.23,68.47
0.01,7392.00,2.00,0.00,0.00,2.00,0.00,0.00,62.07,62.51
0.02,7391.00,2.00,0.00,0.00,3.00,0.00,0.00,56.47,57.06
0.03,7390.00,3.00,0.00,0.00,3.00,0.00,0.00,51.37,52.10
0.03,7390.00,3.00,0.00,0.00,3.00,0.00,0.00,46.73,47.56
0.04,7390.00,3.00,0.00,0.00,3.00,0.00,0.00,42.51,43.42
0.05,7389.00,3.00,0.00,0.00,4.00,0.00,0.00,38.67,39.64
0.06,7389.00,3.00,0.00,0.00,4.00,0.00,0.00,35.18,36.19
0.06,7388.00,3.00,0.00,0.00,5.00,0.00,0.00,32.01,33.03
0.07,7388.00,3.00,0.00,0.00,5.00,0.00,0.00,29.12,30.16
0.08,7387.00,4.00,0.00,0.00,5.00,0.00,0.00,26.49,27.53
0.08,7387.00,4.00,0.00,0.00,5.00,0.00,0.00,24.10,25.13
0.09,7385.00,5.00,0.00,0.00,6.00,0.00,0.00,21.92,22.95
0.10,7385.00,4.00,1.00,0.00,6.00,0.00,0.00,1522.26,20.95
0.10,7384.00,4.00,1.00,0.00,6.00,1.00,0.00,2887.14,34.15
0.11,7384.00,4.00,1.00,0.00,5.00,2.00,0.00,4128.81,61.22
0.12,7380.00,7.00,2.00,0.00,5.00,2.00,0.00,6760.70,85.94
0.12,7378.00,9.00,2.00,0.00,5.00,2.00,0.00,9154.99,108.50
0.13,7376.00,11.00,2.00,0.00,5.00,2.00,0.00,11333.12,129.10
0.14,7372.00,13.00,2.00,0.00,7.00,1.00,1.00,13314.62,132.88
0.15,7372.00,12.00,3.00,0.00,7.00,1.00,1.00,16619.55,136.33
0.15,7371.00,12.00,3.00,0.00,7.00,2.00,1.00,19626.11,154.51
0.16,7368.00,15.00,3.00,0.00,7.00,2.00,1.00,22361.25,171.10
0.17,7366.00,16.00,4.00,0.00,7.00,2.00,1.00,26351.78,186.25
0.17,7366.00,16.00,4.00,0.00,7.00,2.00,1.00,29982.05,200.08
0.18,7364.00,16.00,4.00,0.00,8.00,3.00,1.00,33284.59,227.72
0.19,7358.00,18.00,6.00,0.00,8.00,5.00,1.00,39293.62,283.01
0.19,7355.00,19.00,6.00,0.00,10.00,5.00,1.00,44760.16,333.48
0.20,7350.00,23.00,5.00,1.00,11.00,5.00,1.00,48230.88,379.56
0.21,7347.00,24.00,5.00,1.00,13.00,5.00,1.00,51388.27,421.62
0.22,7343.00,25.00,5.00,1.00,16.00,5.00,1.00,54260.62,460.03
0.22,7339.00,24.00,8.00,1.00,17.00,6.00,1.00,61380.60,510.11
0.23,7337.00,25.00,7.00,2.00,17.00,7.00,1.00,66355.49,570.85
0.24,7328.00,32.00,7.00,2.00,18.00,7.00,2.00,70881.25,626.31
0.24,7325.00,34.00,7.00,2.00,18.00,7.00,3.00,74998.45,676.93
0.25,7316.00,37.00,8.00,2.00,22.00,8.00,3.00,80246.26,738.17
0.26,7309.00,37.00,9.00,2.00,27.00,9.00,3.00,86522.62,809.10
0.26,7302.00,39.00,9.00,2.00,30.00,11.00,3.00,92232.38,903.90
0.27,7297.00,39.00,9.00,2.00,34.00,12.00,3.00,97426.66,1005.47
0.28,7288.00,40.00,9.00,2.00,41.00,12.00,4.00,102152.02,1098.20
0.28,7280.00,44.00,9.00,2.00,45.00,12.00,4.00,106450.78,1182.85
0.29,7268.00,44.00,11.00,2.00,55.00,12.00,4.00,113366.09,1260.13
0.30,7263.00,44.00,10.00,3.00,54.00,18.00,4.00,118154.79,1420.82
0.31,7260.00,45.00,9.00,4.00,54.00,20.00,4.00,121008.86,1597.56
0.31,7250.00,47.00,11.00,4.00,56.00,23.00,5.00,126609.89,1803.98
0.32,7240.00,48.00,11.00,4.00,62.00,26.00,5.00,131705.28,2037.50
0.33,7228.00,48.00,12.00,4.00,73.00,24.00,7.00,137842.98,2220.64
0.33,7217.00,49.00,12.00,4.00,82.00,25.00,7.00,143426.58,2402.85
0.34,7213.00,47.00,14.00,4.00,80.00,31.00,7.00,151510.74,2659.34
0.35,7202.00,47.00,15.00,4.00,87.00,34.00,7.00,160367.38,2938.56
0.35,7194.00,46.00,14.00,6.00,89.00,40.00,7.00,166922.16,3283.61
0.36,7179.00,48.00,15.00,6.00,97.00,43.00,8.00,174387.50,3643.68
0.37,7169.00,48.00,17.00,7.00,101.00,46.00,8.00,184183.51,4017.47
0.38,7154.00,49.00,18.00,8.00,110.00,48.00,9.00,194597.47,4388.75
0.38,7131.00,52.00,18.00,8.00,127.00,49.00,11.00,204071.29,4742.73
0.39,7111.00,55.00,20.00,8.00,136.00,54.00,12.00,215694.45,5141.00
0.40,7096.00,57.00,21.00,8.00,142.00,58.00,14.00,227770.62,5564.68
0.40,7082.00,58.00,22.00,8.00,151.00,57.00,18.00,240258.89,5936.45
0.41,7070.00,60.00,22.00,9.00,158.00,59.00,18.00,251619.74,6305.89
0.42,7062.00,59.00,24.00,9.00,161.00,59.00,22.00,264959.60,6643.17
0.42,7052.00,59.00,25.00,9.00,168.00,58.00,25.00,278597.47,6936.05
0.43,7034.00,61.00,25.00,9.00,181.00,60.00,26.00,291004.14,7233.47
0.44,7021.00,61.00,26.00,9.00,185.00,68.00,26.00,303793.07,7625.18
0.44,7011.00,59.00,26.00,11.00,189.00,73.00,27.00,315427.46,8057.90
0.45,6993.00,63.00,26.00,11.00,196.00,78.00,29.00,326011.51,8528.05
0.46,6975.00,64.00,28.00,11.00,202.00,85.00,31.00,338644.70,9062.43
0.47,6954.00,65.00,30.00,12.00,211.00,91.00,33.00,353142.00,9640.42
0.47,6928.00,62.00,33.00,13.00,229.00,95.00,36.00,370837.46,10228.16
0.48,6905.00,64.00,33.00,14.00,237.00,104.00,39.00,386935.43,10899.94
0.49,6875.00,69.00,34.00,14.00,256.00,108.00,40.00,403082.41,11573.32
0.49,6851.00,74.00,37.00,14.00,260.00,118.00,42.00,422278.62,12338.29
0.50,6833.00,76.00,35.00,16.00,264.00,128.00,44.00,436737.21,13186.88
0.51,6810.00,78.00,37.00,16.00,272.00,136.00,47.00,452895.14,14081.76
0.51,6782.00,80.00,40.00,16.00,284.00,144.00,50.00,472101.31,15018.91
0.52,6757.00,80.00,42.00,17.00,287.00,162.00,51.00,492578.21,16144.87
0.53,6734.00,83.00,41.00,19.00,292.00,175.00,52.00,509704.20,17368.09
0.53,6705.00,84.00,45.00,19.00,306.00,184.00,53.00,531293.33,18620.00
0.54,6673.00,89.00,45.00,20.00,326.00,189.00,54.00,550933.44,19838.01
0.55,6645.00,91.00,45.00,22.00,339.00,193.00,61.00,568800.49,21010.06
0.56,6616.00,92.00,49.00,22.00,356.00,198.00,63.00,591063.81,22155.17
0.56,6580.00,92.00,50.00,24.00,373.00,208.00,69.00,612819.55,23350.80
0.57,6550.00,87.00,55.00,26.00,388.00,217.00,73.00,640122.79,24577.52
0.58,6517.00,88.00,57.00,27.00,409.00,222.00,76.00,667965.79,25772.54
0.58,6484.00,92.00,63.00,27.00,423.00,224.00,83.00,702309.07,26893.55
0.59,6452.00,96.00,64.00,29.00,437.00,232.00,86.00,735054.22,28037.13
0.60,6414.00,100.00,64.00,30.00,458.00,240.00,90.00,764843.22,29201.32
0.60,6388.00,103.00,65.00,30.00,467.00,253.00,90.00,793445.24,30459.44
0.61,6354.00,113.00,63.00,32.00,473.00,269.00,92.00,816460.50,31848.37
0.62,6314.00,116.00,64.00,34.00,493.00,278.00,97.00,838900.32,33251.57
0.62,6276.00,120.00,66.00,34.00,506.00,293.00,101.00,862318.94,34757.93
0.63,6241.00,120.00,68.00,35.00,521.00,307.00,104.00,886628.01,36343.45
0.64,6189.00,123.00,70.00,36.00,551.00,318.00,109.00,911747.14,37956.16
0.65,6147.00,130.00,72.00,36.00,569.00,327.00,115.00,937603.19,39563.65
0.65,6088.00,129.00,76.00,38.00,606.00,338.00,121.00,967134.28,41196.43
0.66,6066.00,130.00,77.00,40.00,613.00,344.00,126.00,995501.66,42777.16
0.67,6019.00,135.00,77.00,42.00,635.00,354.00,134.00,1021308.12,44370.48
0.67,5986.00,134.00,79.00,44.00,647.00,364.00,142.00,1047789.44,45975.30
0.68,5938.00,137.00,79.00,47.00,674.00,376.00,145.00,1071880.08,47620.65
0.69,5904.00,139.00,81.00,49.00,685.00,391.00,147.00,1096800.51,49348.07
0.69,5861.00,146.00,81.00,51.00,693.00,413.00,151.00,1119471.17,51255.59
0.70,5821.00,146.00,85.00,51.00,715.00,420.00,158.00,1146104.43,53102.17
0.71,5784.00,148.00,85.00,51.00,733.00,432.00,163.00,1170333.29,54968.24
0.72,5757.00,146.00,89.00,52.00,737.00,448.00,167.00,1198384.09,56912.18
0.72,5725.00,141.00,95.00,53.00,743.00,471.00,168.00,1232916.40,59032.39
0.73,5687.00,139.00,99.00,54.00,751.00,493.00,173.00,1270340.47,61298.48
0.74,5638.00,145.00,99.00,56.00,766.00,515.00,177.00,1304385.98,63697.77
0.74,5597.00,146.00,103.00,57.00,788.00,524.00,181.00,1341367.18,66023.34
0.75,5561.00,145.00,111.00,58.00,798.00,537.00,186.00,1387028.30,68341.71
0.76,5511.00,151.00,110.00,60.00,822.00,553.00,189.00,1427064.95,70698.57
0.76,5463.00,156.00,113.00,60.00,846.00,567.00,191.00,1467994.08,73060.53
0.77,5419.00,156.00,114.00,62.00,858.00,589.00,198.00,1506730.55,75547.33
0.78,5383.00,153.00,118.00,66.00,868.00,603.00,205.00,1547979.24,78027.92
0.78,5338.00,151.00,120.00,70.00,875.00,631.00,211.00,1588508.70,80713.15
0.79,5277.00,153.00,123.00,70.00,916.00,642.00,215.00,1629886.23,83329.82
0.80,5229.00,161.00,122.00,74.00,932.00,658.00,220.00,1666025.92,85959.01
0.81,5177.00,166.00,128.00,75.00,942.00,683.00,225.00,1707916.91,88734.83
0.81,5134.00,170.00,127.00,78.00,956.00,699.00,232.00,1744523.74,91509.32
0.82,5073.00,171.00,128.00,81.00,987.00,717.00,239.00,1779328.13,94312.64
0.83,5033.00,177.00,128.00,82.00,995.00,734.00,247.00,1810990.44,97127.24
0.83,4997.00,179.00,128.00,86.00,1004.00,748.00,254.00,1839794.34,99907.09
0.84,4951.00,181.00,129.00,90.00,1015.00,769.00,261.00,1867500.20,102760.36
0.85,4910.00,182.00,132.00,91.00,1016.00,799.00,266.00,1897211.79,105815.87
