Time,U,AI1,AI2,AD,BI2,BI2,BD,VA,VB
0.00,7393.00,2.00,0.00,0.00,1.00,0.00,0.00,75.00,75.00
0.01,7390.00,3.00,0.00,0.00,3.00,0.00,0.00,68.52,68.47
0.01,7390.00,3.00,0.00,0.00,3.00,0.00,0.00,62.61,62.51
0.02,7390.00,3.00,0.00,0.00,3.00,0.00,0.00,57.20,57.06
0.03,7385.00,5.00,0.00,0.00,5.00,1.00,0.00,52.26,67.12
0.03,7384.00,5.00,1.00,0.00,5.00,1.00,0.00,49.25,76.30
0.04,7383.00,6.00,1.00,0.00,5.00,1.00,0.00,46.50,84.68
0.05,7382.00,6.00,1.00,0.00,6.00,1.00,0.00,43.99,92.33
0.06,7381.00,6.00,1.00,0.00,7.00,1.00,0.00,41.70,99.31
0.06,7381.00,6.00,1.00,0.00,7.00,1.00,0.00,39.60,105.69
0.07,7380.00,6.00,1.00,0.00,8.00,1.00,0.00,37.68,111.51
0.08,7375.00,9.00,1.00,0.00,10.00,1.00,0.00,35.93,116.82
0.08,7375.00,8.00,2.00,0.00,10.00,1.00,0.00,35.83,121.67
0.09,7375.00,8.00,2.00,0.00,10.00,1.00,0.00,35.75,126.10
0.10,7373.00,7.00,3.00,0.00,12.00,1.00,0.00,37.17,130.14
0.10,7373.00,7.00,3.00,0.00,12.00,1.00,0.00,38.46,133.83
0.11,7372.00,8.00,3.00,0.00,12.00,1.00,0.00,39.65,137.20
0.12,7371.00,9.00,3.00,0.00,11.00,2.00,0.00,40.73,155.30
0.12,7369.00,9.00,3.00,0.00,13.00,2.00,0.00,41.72,171.82
0.13,7368.00,9.00,1.00,2.00,14.00,2.00,0.00,39.62,186.91
0.14,7365.00,8.00,3.00,2.00,16.00,2.00,0.00,40.71,200.68
0.15,7363.00,9.00,3.00,2.00,17.00,2.00,0.00,41.70,213.25
0.15,7362.00,10.00,3.00,2.00,16.00,3.00,0.00,42.61,239.75
0.16,7359.00,10.00,3.00,2.00,18.00,4.00,0.00,43.44,278.97
0.17,7356.00,10.00,2.00,3.00,19.00,5.00,1.00,42.69,329.79
0.17,7356.00,10.00,2.00,3.00,18.00,5.00,2.00,42.01,376.19
0.18,7356.00,10.00,2.00,3.00,18.00,5.00,2.00,41.39,418.55
0.19,7352.00,10.00,2.00,3.00,21.00,6.00,2.00,40.82,472.24
0.19,7352.00,9.00,3.00,3.00,21.00,6.00,2.00,41.80,521.26
0.20,7350.00,9.00,3.00,3.00,22.00,7.00,2.00,42.70,581.03
0.21,7346.00,9.00,3.00,3.00,26.00,7.00,2.00,43.52,635.60
0.22,7346.00,9.00,3.00,3.00,26.00,6.00,3.00,44.27,670.39
0.22,7345.00,8.00,4.00,3.00,25.00,8.00,3.00,46.46,732.20
0.23,7343.00,8.00,4.00,3.00,27.00,8.00,3.00,48.46,788.63
0.24,7340.00,10.00,4.00,3.00,26.00,9.00,4.00,50.28,855.17
0.24,7337.00,12.00,4.00,3.00,25.00,11.00,4.00,51.95,945.96
0.25,7337.00,12.00,4.00,3.00,25.00,11.00,4.00,53.47,1028.84
0.26,7334.00,13.00,4.00,3.00,26.00,11.00,5.00,54.87,1104.51
0.26,7329.00,14.00,4.00,3.00,30.00,11.00,5.00,56.14,1173.59
0.27,7328.00,13.00,5.00,3.00,29.00,13.00,5.00,58.80,1266.70
0.28,7326.00,13.00,5.00,3.00,29.00,15.00,5.00,61.24,1381.75
0.28,7323.00,12.00,7.00,3.00,30.00,15.00,6.00,66.47,1486.78
0.29,7320.00,14.00,7.00,3.00,29.00,17.00,6.00,71.25,1612.71
0.30,7315.00,15.00,7.00,4.00,32.00,15.00,8.00,75.61,1697.62
0.31,7310.00,16.00,7.00,4.00,34.00,17.00,8.00,79.60,1805.20
0.31,7308.00,17.00,7.00,4.00,35.00,17.00,8.00,83.24,1903.40
0.32,7305.00,16.00,8.00,4.00,36.00,18.00,9.00,88.08,2008.08
0.33,7301.00,17.00,6.00,6.00,38.00,18.00,10.00,89.49,2103.64
0.33,7297.00,16.00,7.00,6.00,39.00,21.00,10.00,92.28,2235.95
0.34,7293.00,15.00,8.00,6.00,42.00,21.00,11.00,96.33,2356.73
0.35,7286.00,17.00,9.00,6.00,46.00,21.00,11.00,101.53,2467.00
0.35,7283.00,17.00,9.00,6.00,48.00,21.00,12.00,106.29,2567.67
0.36,7275.00,16.00,11.00,6.00,54.00,22.00,12.00,113.64,2674.60
0.37,7266.00,18.00,11.00,6.00,60.00,23.00,12.00,120.35,2787.24
0.38,7259.00,19.00,11.00,6.00,64.00,25.00,12.00,126.49,2920.11
0.38,7252.00,19.00,12.00,6.00,66.00,29.00,12.00,133.59,3101.51
0.39,7246.00,20.00,12.00,6.00,69.00,30.00,13.00,140.09,3282.14
0.40,7240.00,22.00,12.00,6.00,70.00,32.00,14.00,146.02,3477.08
0.40,7230.00,23.00,13.00,6.00,75.00,35.00,14.00,152.94,3700.12
0.41,7222.00,26.00,13.00,6.00,79.00,35.00,15.00,159.27,3903.74
0.42,7216.00,27.00,13.00,6.00,84.00,35.00,15.00,165.05,4089.63
