Time,U,AI1,AI2,AD,BI2,BI2,BD,VA,VB
0.00,7392.00,1.00,0.00,0.00,3.00,0.00,0.00,75.00,75.00
0.01,7392.00,1.00,0.00,0.00,3.00,0.00,0.00,68.52,68.47
0.01,7390.00,2.00,0.00,0.00,4.00,0.00,0.00,62.61,62.51
0.02,7387.00,5.00,0.00,0.00,4.00,0.00,0.00,57.20,57.06
0.03,7386.00,6.00,0.00,0.00,4.00,0.00,0.00,52.26,52.10
0.03,7385.00,5.00,2.00,0.00,4.00,0.00,0.00,3052.38,47.56
0.04,7349.00,41.00,2.00,0.00,3.00,1.00,0.00,5793.48,58.44
0.05,7282.00,100.00,8.00,0.00,5.00,1.00,0.00,17311.81,68.38
0.06,7104.00,266.00,18.00,0.00,7.00,1.00,0.00,42858.85,77.44
0.06,6749.00,603.00,35.00,0.00,8.00,1.00,0.00,91739.63,85.72
0.07,6219.00,1101.00,65.00,2.00,7.00,2.00,0.00,181469.73,108.31
0.08,5629.00,1636.00,117.00,4.00,8.00,2.00,0.00,341573.33,128.92
0.08,4829.00,2366.00,182.00,8.00,9.00,2.00,0.00,585504.84,147.74
0.09,3914.00,3183.00,272.00,14.00,11.00,1.00,1.00,943584.89,149.90
0.10,2854.00,4121.00,386.00,21.00,12.00,1.00,1.00,1442014.03,151.87
0.10,1768.00,5065.00,515.00,32.00,14.00,1.00,1.00,2091210.00,153.67
0.11,861.00,5781.00,700.00,37.00,15.00,1.00,1.00,2962286.01,155.31
0.12,289.00,6160.00,889.00,41.00,15.00,1.00,1.00,4042095.38,156.81
0.12,48.00,6210.00,1074.00,47.00,15.00,1.00,1.00,5306608.00,158.18
0.13,0.00,6104.00,1223.00,52.00,15.00,1.00,1.00,6685794.29,159.43
0.14,0.00,5935.00,1386.00,58.00,15.00,0.00,2.00,8190786.37,145.55
0.15,0.00,5777.00,1538.00,64.00,15.00,0.00,2.00,9794197.37,132.87
0.15,0.00,5615.00,1694.00,70.00,15.00,0.00,2.00,11493539.58,121.30
0.16,0.00,5452.00,1849.00,78.00,15.00,0.00,2.00,13279028.58,110.74
0.17,0.00,5307.00,1982.00,90.00,15.00,0.00,2.00,15110176.00,101.10
0.17,0.00,5142.00,2141.00,96.00,15.00,0.00,2.00,17022100.05,92.29
0.18,0.00,4986.00,2287.00,106.00,15.00,0.00,2.00,18988297.12,84.26
0.19,0.00,4844.00,2422.00,113.00,13.00,2.00,2.00,20987555.89,106.97
0.19,0.00,4710.00,2547.00,122.00,13.00,2.00,2.00,23001998.91,127.70
0.20,0.00,4583.00,2667.00,129.00,13.00,2.00,2.00,25022803.38,146.63
0.21,0.00,4460.00,2782.00,137.00,12.00,3.00,2.00,27041908.85,178.93
