Time,U,AI1,AI2,AD,BI2,BI2,BD,VA,VB
0.00,7389.00,5.00,0.00,0.00,2.00,0.00,0.00,75.00,75.00
0.01,7387.00,7.00,0.00,0.00,2.00,0.00,0.00,68.52,68.47
0.01,7387.00,6.00,1.00,0.00,2.00,0.00,0.00,1564.91,62.51
0.02,7371.00,22.00,1.00,0.00,2.00,0.00,0.00,2932.01,57.06
0.03,7348.00,42.00,4.00,0.00,2.00,0.00,0.00,8687.91,52.10
0.03,7304.00,84.00,5.00,0.00,3.00,0.00,0.00,15448.78,47.56
0.04,7252.00,132.00,9.00,0.00,3.00,0.00,0.00,27634.71,43.42
0.05,7180.00,195.00,18.00,0.00,3.00,0.00,0.00,52288.51,39.64
0.06,7065.00,298.00,29.00,1.00,2.00,1.00,0.00,91337.49,51.21
0.06,6920.00,434.00,35.00,2.00,4.00,1.00,0.00,136026.22,61.77
0.07,6787.00,556.00,46.00,2.00,4.00,1.00,0.00,193378.96,71.42
0.08,6618.00,700.00,70.00,3.00,4.00,1.00,0.00,281831.52,80.22
0.08,6443.00,852.00,92.00,3.00,5.00,1.00,0.00,395692.02,88.26
0.09,6180.00,1077.00,129.00,4.00,5.00,1.00,0.00,555299.72,95.60
0.10,5900.00,1326.00,157.00,6.00,6.00,1.00,0.00,743180.91,102.30
0.10,5609.00,1575.00,197.00,7.00,7.00,1.00,0.00,974920.28,108.41
0.11,5295.00,1844.00,240.00,8.00,8.00,1.00,0.00,1251235.13,113.99
0.12,4917.00,2162.00,295.00,13.00,8.00,1.00,0.00,1586301.56,119.09
0.12,4519.00,2489.00,362.00,17.00,7.00,2.00,0.00,1993070.75,138.77
0.13,4145.00,2778.00,442.00,22.00,6.00,3.00,0.00,2484877.10,171.75
0.14,3807.00,3024.00,530.00,25.00,7.00,3.00,0.00,3066391.31,201.87
0.15,3433.00,3307.00,613.00,30.00,9.00,4.00,0.00,3722350.36,244.38
0.15,3053.00,3573.00,721.00,35.00,10.00,4.00,0.00,4483879.51,283.20
0.16,2643.00,3885.00,807.00,46.00,11.00,4.00,0.00,5308805.79,318.63
0.17,2317.00,4091.00,920.00,52.00,11.00,5.00,0.00,6232213.69,366.00
0.17,1938.00,4349.00,1031.00,61.00,12.00,5.00,0.00,7242589.01,409.24
0.18,1584.00,4574.00,1155.00,65.00,13.00,5.00,0.00,8351947.26,448.73
0.19,1293.00,4720.00,1291.00,74.00,13.00,4.00,1.00,9569763.29,469.74
0.19,1021.00,4853.00,1417.00,87.00,13.00,4.00,1.00,10871642.39,488.93
0.20,723.00,5033.00,1528.00,94.00,12.00,5.00,1.00,12227786.19,521.47
0.21,516.00,5103.00,1650.00,109.00,12.00,4.00,2.00,13650031.22,536.16
0.22,372.00,5103.00,1785.00,118.00,12.00,4.00,2.00,15152196.02,549.57
0.22,258.00,5072.00,1924.00,124.00,11.00,5.00,2.00,16733384.02,576.83
0.23,178.00,5003.00,2067.00,130.00,10.00,6.00,2.00,18392776.42,616.74
0.24,100.00,4948.00,2193.00,137.00,10.00,6.00,2.00,20098076.33,653.17
0.24,44.00,4872.00,2320.00,142.00,9.00,7.00,2.00,21846819.41,701.46
0.25,8.00,4764.00,2458.00,148.00,8.00,8.00,2.00,23651777.25,760.56
0.26,1.00,4636.00,2586.00,155.00,8.00,7.00,3.00,25493069.24,799.50
0.26,0.00,4496.00,2719.00,163.00,8.00,7.00,3.00,27375067.65,835.04
0.27,0.00,4373.00,2832.00,173.00,8.00,6.00,4.00,29264208.65,852.47
0.28,0.00,4256.00,2941.00,181.00,8.00,6.00,4.00,31153865.96,868.38
0.28,0.00,4147.00,3044.00,187.00,8.00,6.00,4.00,33034980.90,882.90
0.29,0.00,4001.00,3178.00,199.00,8.00,6.00,4.00,34954863.53,896.16
0.30,0.00,3892.00,3281.00,205.00,7.00,6.00,5.00,36863592.20,908.27
0.31,0.00,3788.00,3376.00,214.00,7.00,5.00,6.00,38750112.08,904.29
0.31,0.00,3678.00,3476.00,224.00,7.00,5.00,6.00,40623853.94,900.67
0.32,0.00,3567.00,3579.00,232.00,7.00,5.00,6.00,42490428.77,897.36
0.33,0.00,3479.00,3662.00,237.00,7.00,5.00,6.00,44320409.51,894.33
0.33,0.00,3381.00,3755.00,242.00,7.00,5.00,6.00,46131981.19,891.57
0.34,0.00,3287.00,3840.00,251.00,6.00,6.00,6.00,47914716.38,904.08
0.35,0.00,3193.00,3931.00,254.00,5.00,7.00,6.00,49680120.28,930.52
0.35,0.00,3099.00,4019.00,260.00,5.00,7.00,6.00,51425183.72,954.65
0.36,0.00,3009.00,4101.00,268.00,5.00,7.00,6.00,53142650.17,976.69
