Time,U,AI1,AI2,AD,BI2,BI2,BD,VA,VB
0.00,7394.00,0.00,0.00,0.00,2.00,0.00,0.00,75.00,75.00
0.01,7393.00,1.00,0.00,0.00,2.00,0.00,0.00,68.52,68.47
0.01,7389.00,4.00,0.00,0.00,3.00,0.00,0.00,62.61,62.51
0.02,7389.00,3.00,1.00,0.00,2.00,1.00,0.00,72.23,72.09
0.03,7386.00,4.00,2.00,0.00,3.00,1.00,0.00,96.04,80.83
0.03,7382.00,7.00,2.00,0.00,4.00,1.00,0.00,117.79,88.82
0.04,7378.00,10.00,2.00,0.00,5.00,1.00,0.00,137.67,96.11
0.05,7377.00,9.00,3.00,0.00,6.00,1.00,0.00,170.85,102.76
0.06,7371.00,12.00,4.00,0.00,8.00,1.00,0.00,216.19,108.84
0.06,7364.00,18.00,4.00,0.00,9.00,1.00,0.00,257.62,114.38
0.07,7361.00,17.00,7.00,0.00,10.00,1.00,0.00,340.54,119.45
0.08,7357.00,18.00,10.00,0.00,10.00,1.00,0.00,461.37,124.07
0.08,7350.00,22.00,11.00,0.00,12.00,1.00,0.00,586.80,128.29
0.09,7343.00,27.00,11.00,1.00,13.00,1.00,0.00,701.39,132.14
0.10,7337.00,31.00,11.00,2.00,14.00,1.00,0.00,806.09,135.66
0.10,7325.00,40.00,12.00,2.00,16.00,1.00,0.00,916.77,138.87
0.11,7317.00,46.00,14.00,2.00,15.00,2.00,0.00,1047.95,156.82
0.12,7305.00,56.00,16.00,2.00,13.00,4.00,0.00,1197.84,203.26
0.12,7286.00,69.00,17.00,2.00,18.00,4.00,0.00,1349.82,245.65
0.13,7267.00,87.00,18.00,2.00,17.00,5.00,0.00,1503.70,299.38
0.14,7248.00,99.00,22.00,2.00,20.00,5.00,0.00,1704.39,348.42
0.15,7230.00,114.00,23.00,2.00,22.00,5.00,0.00,1902.78,393.20
0.15,7209.00,127.00,29.00,3.00,22.00,5.00,1.00,2174.17,434.08
0.16,7180.00,145.00,36.00,3.00,25.00,6.00,1.00,2527.30,486.42
0.17,7141.00,173.00,44.00,3.00,28.00,6.00,1.00,2970.12,534.20
0.17,7112.00,198.00,44.00,4.00,30.00,5.00,3.00,3374.72,562.80
0.18,7065.00,235.00,51.00,5.00,30.00,6.00,4.00,3849.54,603.93
0.19,7029.00,261.00,60.00,6.00,30.00,6.00,4.00,4418.58,641.48
0.19,6979.00,304.00,60.00,10.00,32.00,7.00,4.00,4938.49,690.79
0.20,6935.00,335.00,72.00,10.00,32.00,8.00,4.00,5593.80,750.82
0.21,6885.00,378.00,76.00,11.00,33.00,9.00,4.00,6252.62,820.65
0.22,6812.00,430.00,93.00,12.00,36.00,7.00,6.00,7109.95,854.35
0.22,6737.00,488.00,103.00,16.00,38.00,7.00,7.00,8043.50,885.12
0.23,6648.00,562.00,111.00,18.00,41.00,9.00,7.00,9016.64,943.26
0.24,6560.00,622.00,131.00,24.00,43.00,9.00,7.00,10206.22,996.33
0.24,6472.00,691.00,146.00,24.00,45.00,11.00,7.00,11518.45,1074.83
0.25,6379.00,753.00,166.00,29.00,50.00,12.00,7.00,13017.85,1161.51
0.26,6271.00,831.00,187.00,32.00,54.00,14.00,7.00,14703.29,1270.70
0.26,6147.00,923.00,211.00,35.00,57.00,16.00,7.00,16603.77,1400.42
0.27,5991.00,1048.00,235.00,37.00,61.00,17.00,7.00,18700.73,1533.87
0.28,5839.00,1156.00,272.00,37.00,66.00,18.00,8.00,21172.50,1670.72
0.28,5635.00,1317.00,304.00,40.00,72.00,20.00,8.00,23911.62,1825.71
0.29,5451.00,1451.00,335.00,52.00,77.00,22.00,8.00,26879.97,1997.24
0.30,5215.00,1636.00,371.00,57.00,84.00,25.00,8.00,30132.89,2198.91
0.31,5003.00,1788.00,421.00,63.00,87.00,26.00,8.00,33856.12,2398.04
0.31,4757.00,1980.00,459.00,69.00,91.00,31.00,9.00,37828.79,2654.94
0.32,4483.00,2180.00,515.00,75.00,100.00,34.00,9.00,42299.77,2934.55
0.33,4228.00,2365.00,579.00,77.00,102.00,35.00,10.00,47346.24,3204.83
0.33,3949.00,2570.00,637.00,85.00,108.00,36.00,11.00,52828.36,3466.60
