Time,U,AI1,AI2,AD,BI2,BI2,BD,VA,VB
0.00,7396.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,75.00
0.01,7393.00,1.00,0.00,0.00,2.00,0.00,0.00,68.23,68.47
0.01,7392.00,1.00,0.00,0.00,3.00,0.00,0.00,62.07,62.51
0.02,7391.00,1.00,1.00,0.00,3.00,0.00,0.00,71.49,57.06
0.03,7390.00,2.00,1.00,0.00,3.00,0.00,0.00,80.06,52.10
0.03,7385.00,7.00,1.00,0.00,3.00,0.00,0.00,87.85,47.56
0.04,7385.00,6.00,2.00,0.00,3.00,0.00,0.00,109.97,43.42
0.05,7385.00,6.00,2.00,0.00,2.00,1.00,0.00,130.09,54.66
0.06,7383.00,8.00,2.00,0.00,2.00,1.00,0.00,148.39,64.92
0.06,7381.00,9.00,2.00,0.00,2.00,2.00,0.00,165.04,89.32
0.07,7380.00,9.00,2.00,0.00,3.00,2.00,0.00,180.19,111.59
0.08,7378.00,8.00,3.00,0.00,5.00,2.00,0.00,208.99,131.92
0.08,7376.00,7.00,4.00,1.00,5.00,3.00,0.00,250.21,165.50
0.09,7373.00,7.00,4.00,1.00,8.00,3.00,0.00,287.72,196.16
0.10,7372.00,7.00,5.00,1.00,8.00,3.00,0.00,336.86,224.15
0.10,7370.00,8.00,5.00,1.00,8.00,4.00,0.00,381.56,264.72
0.11,7366.00,9.00,5.00,1.00,11.00,3.00,1.00,422.23,286.74
0.12,7362.00,10.00,6.00,1.00,11.00,5.00,1.00,474.25,336.89
0.12,7357.00,9.00,7.00,1.00,16.00,5.00,1.00,536.60,382.67
0.13,7355.00,9.00,6.00,2.00,18.00,5.00,1.00,578.30,424.46
0.14,7351.00,10.00,5.00,3.00,21.00,5.00,1.00,601.21,462.62
0.15,7349.00,10.00,5.00,3.00,21.00,7.00,1.00,622.05,527.50
0.15,7345.00,12.00,5.00,3.00,23.00,7.00,1.00,641.00,586.73
0.16,7343.00,12.00,5.00,3.00,24.00,8.00,1.00,658.25,655.82
0.17,7341.00,12.00,5.00,3.00,26.00,7.00,2.00,673.94,703.88
0.17,7334.00,12.00,5.00,3.00,32.00,8.00,2.00,688.22,762.77
0.18,7332.00,11.00,6.00,3.00,33.00,9.00,2.00,716.22,831.56
0.19,7328.00,13.00,6.00,3.00,35.00,9.00,2.00,741.70,894.36
0.19,7325.00,13.00,6.00,3.00,38.00,8.00,3.00,764.88,936.67
0.20,7324.00,12.00,7.00,3.00,37.00,9.00,4.00,800.99,990.31
0.21,7319.00,13.00,7.00,3.00,41.00,9.00,4.00,833.84,1039.29
0.22,7315.00,13.00,5.00,5.00,44.00,10.00,4.00,833.68,1099.02
0.22,7310.00,13.00,5.00,5.00,47.00,12.00,4.00,833.53,1183.60
0.23,7306.00,13.00,5.00,5.00,49.00,14.00,4.00,833.40,1290.86
0.24,7303.00,12.00,6.00,5.00,52.00,13.00,5.00,848.30,1373.76
0.24,7298.00,12.00,6.00,5.00,56.00,14.00,5.00,861.86,1464.46
0.25,7289.00,14.00,6.00,5.00,62.00,14.00,6.00,874.19,1547.27
0.26,7283.00,13.00,7.00,5.00,67.00,15.00,6.00,900.43,1637.88
0.26,7279.00,13.00,7.00,5.00,68.00,18.00,6.00,924.30,1765.68
0.27,7276.00,13.00,7.00,5.00,69.00,19.00,7.00,946.02,1897.37
0.28,7266.00,16.00,7.00,5.00,76.00,19.00,7.00,965.78,2017.59
0.28,7258.00,15.00,8.00,5.00,81.00,21.00,8.00,998.78,2157.40
0.29,7256.00,15.00,8.00,5.00,79.00,25.00,8.00,1028.79,2345.12
0.30,7253.00,15.00,8.00,5.00,78.00,28.00,9.00,1056.10,2561.56
0.31,7246.00,15.00,8.00,5.00,81.00,31.00,10.00,1080.94,2804.23
0.31,7234.00,13.00,10.00,5.00,92.00,32.00,10.00,1133.59,3040.79
0.32,7223.00,14.00,10.00,5.00,98.00,36.00,10.00,1181.48,3316.84
0.33,7214.00,13.00,11.00,5.00,104.00,37.00,12.00,1240.08,3583.88
0.33,7204.00,14.00,11.00,5.00,111.00,39.00,12.00,1293.38,3857.71
0.34,7196.00,15.00,10.00,6.00,117.00,40.00,12.00,1326.85,4122.72
0.35,7183.00,15.00,11.00,6.00,122.00,47.00,12.00,1372.32,4469.82
0.35,7172.00,17.00,11.00,6.00,130.00,46.00,14.00,1413.68,4771.67
0.36,7161.00,17.00,12.00,6.00,138.00,48.00,14.00,1466.34,5077.28
0.37,7147.00,18.00,13.00,6.00,144.00,54.00,14.00,1529.26,5446.42
0.38,7133.00,19.00,13.00,7.00,154.00,56.00,14.00,1586.50,5813.46
0.38,7120.00,20.00,13.00,7.00,159.00,63.00,14.00,1638.58,6253.71
0.39,7110.00,21.00,13.00,7.00,164.00,67.00,14.00,1685.95,6715.71
0.40,7099.00,22.00,13.00,7.00,167.00,73.00,15.00,1729.05,7227.62
0.40,7083.00,22.00,13.00,7.00,174.00,78.00,19.00,1768.25,7770.07
0.41,7070.00,23.00,12.00,8.00,181.00,82.00,20.00,1788.90,8325.38
0.42,7058.00,23.00,12.00,8.00,185.00,86.00,24.00,1807.68,8892.43
0.42,7045.00,22.00,13.00,9.00,187.00,96.00,24.00,1839.78,9560.33
0.43,7030.00,20.00,15.00,9.00,197.00,101.00,24.00,1899.04,10245.19
0.44,7014.00,20.00,16.00,9.00,205.00,105.00,27.00,1967.97,10930.51
0.44,6994.00,20.00,15.00,10.00,220.00,107.00,30.00,2015.65,11586.20
