Time,U,AI1,AI2,AD,BI2,BI2,BD,VA,VB
0.00,7395.00,0.00,0.00,0.00,1.00,0.00,0.00,75.00,75.00
0.01,7392.00,0.00,0.00,0.00,4.00,0.00,0.00,68.52,68.47
0.01,7391.00,0.00,0.00,0.00,5.00,0.00,0.00,62.61,62.51
0.02,7391.00,0.00,0.00,0.00,5.00,0.00,0.00,57.20,57.06
0.03,7391.00,0.00,0.00,0.00,4.00,1.00,0.00,52.26,67.12
0.03,7389.00,1.00,0.00,0.00,5.00,1.00,0.00,47.75,76.30
0.04,7386.00,1.00,0.00,0.00,8.00,1.00,0.00,43.63,84.68
0.05,7383.00,2.00,0.00,0.00,10.00,1.00,0.00,39.86,92.33
0.06,7383.00,2.00,0.00,0.00,10.00,1.00,0.00,36.42,99.31
0.06,7383.00,2.00,0.00,0.00,10.00,1.00,0.00,33.28,105.69
0.07,7380.00,3.00,0.00,0.00,12.00,1.00,0.00,30.40,111.51
0.08,7379.00,1.00,2.00,0.00,13.00,1.00,0.00,328.24,116.82
0.08,7372.00,7.00,2.00,0.00,14.00,1.00,0.00,600.37,121.67
0.09,7364.00,14.00,2.00,0.00,15.00,1.00,0.00,849.00,126.10
0.10,7354.00,22.00,3.00,0.00,14.00,3.00,0.00,1226.39,160.19
0.10,7337.00,38.00,3.00,0.00,15.00,3.00,0.00,1571.21,191.31
0.11,7320.00,52.00,5.00,0.00,16.00,3.00,0.00,2186.71,219.72
0.12,7293.00,76.00,8.00,0.00,16.00,3.00,0.00,3199.78,245.66
0.12,7248.00,116.00,11.00,0.00,17.00,3.00,1.00,4576.07,269.34
0.13,7208.00,149.00,17.00,0.00,17.00,4.00,1.00,6734.93,305.98
0.14,7143.00,207.00,22.00,1.00,18.00,4.00,1.00,9458.56,339.43
0.15,7039.00,299.00,34.00,1.00,18.00,4.00,1.00,13749.83,369.96
0.15,6916.00,409.00,45.00,1.00,19.00,5.00,1.00,19323.16,412.86
0.16,6752.00,559.00,55.00,2.00,22.00,5.00,1.00,25917.63,452.03
0.17,6530.00,759.00,76.00,2.00,23.00,4.00,2.00,35097.62,472.76
0.17,6315.00,947.00,100.00,4.00,24.00,4.00,2.00,47090.63,491.69
0.18,6010.00,1213.00,137.00,5.00,24.00,5.00,2.00,63606.78,523.99
0.19,5679.00,1514.00,165.00,7.00,24.00,5.00,2.00,82903.49,553.48
0.19,5291.00,1856.00,208.00,10.00,23.00,6.00,2.00,106994.18,595.42
0.20,4826.00,2249.00,277.00,13.00,22.00,7.00,2.00,139370.98,648.74
0.21,4363.00,2633.00,352.00,16.00,23.00,7.00,2.00,180219.90,697.41
0.22,3849.00,3053.00,438.00,23.00,22.00,9.00,2.00,230462.05,771.89
0.22,3250.00,3556.00,528.00,27.00,23.00,9.00,3.00,289887.38,839.88
0.23,2722.00,3960.00,644.00,34.00,22.00,11.00,3.00,361609.10,932.00
0.24,2247.00,4305.00,766.00,41.00,22.00,12.00,3.00,445466.99,1031.13
0.24,1775.00,4622.00,907.00,53.00,24.00,11.00,4.00,543267.68,1106.60
0.25,1304.00,4954.00,1038.00,59.00,25.00,12.00,4.00,652305.10,1190.51
0.26,898.00,5199.00,1191.00,67.00,24.00,13.00,4.00,774914.23,1282.15
0.26,554.00,5394.00,1338.00,69.00,24.00,13.00,4.00,909021.98,1365.81
0.27,285.00,5518.00,1475.00,76.00,25.00,13.00,4.00,1052133.29,1442.18
0.28,108.00,5500.00,1667.00,78.00,25.00,13.00,5.00,1211733.57,1511.90
0.28,31.00,5418.00,1816.00,88.00,24.00,13.00,6.00,1379939.33,1575.55
0.29,5.00,5312.00,1945.00,91.00,24.00,13.00,6.00,1553002.96,1633.66
0.30,4.00,5167.00,2085.00,97.00,23.00,14.00,6.00,1732157.63,1701.73
0.31,0.00,5038.00,2211.00,104.00,23.00,14.00,6.00,1914774.23,1763.87
0.31,0.00,4918.00,2325.00,110.00,22.00,15.00,6.00,2098751.08,1835.63
0.32,0.00,4799.00,2430.00,124.00,22.00,15.00,6.00,2282618.66,1901.14
0.33,0.00,4673.00,2549.00,131.00,22.00,15.00,6.00,2468489.66,1960.94
0.33,0.00,4546.00,2672.00,135.00,22.00,14.00,7.00,2656792.06,2000.51
0.34,0.00,4426.00,2785.00,142.00,21.00,14.00,8.00,2845813.63,2036.64
0.35,0.00,4308.00,2901.00,144.00,20.00,15.00,8.00,3035942.95,2084.64
0.35,0.00,4171.00,3029.00,153.00,20.00,15.00,8.00,3228887.16,2128.47
0.36,0.00,4049.00,3146.00,158.00,18.00,17.00,8.00,3422750.68,2198.52
0.37,0.00,3936.00,3251.00,166.00,18.00,17.00,8.00,3615651.39,2262.48
0.38,0.00,3832.00,3351.00,170.00,18.00,17.00,8.00,3806921.25,2320.86
0.38,0.00,3732.00,3446.00,175.00,17.00,18.00,8.00,3995949.90,2389.19
0.39,0.00,3627.00,3543.00,183.00,15.00,20.00,8.00,4183231.33,2481.61
0.40,0.00,3512.00,3654.00,187.00,15.00,19.00,9.00,4371019.61,2550.96
0.40,0.00,3416.00,3744.00,193.00,15.00,17.00,11.00,4556116.12,2584.23
0.41,0.00,3329.00,3827.00,197.00,14.00,18.00,11.00,4737701.62,2629.62
0.42,0.00,3224.00,3925.00,204.00,13.00,19.00,11.00,4918332.71,2686.08
0.42,0.00,3142.00,3999.00,212.00,12.00,20.00,11.00,5094486.20,2752.65
0.43,0.00,3042.00,4093.00,218.00,12.00,20.00,11.00,5269553.35,2813.42
0.44,0.00,2946.00,4181.00,226.00,12.00,20.00,11.00,5442726.43,2868.90
0.44,0.00,2867.00,4253.00,233.00,11.00,20.00,12.00,5611765.45,2919.55
0.45,0.00,2783.00,4331.00,239.00,11.00,19.00,13.00,5777928.59,2950.77
0.46,0.00,2711.00,4393.00,249.00,11.00,18.00,14.00,5939060.46,2964.24
0.47,0.00,2640.00,4454.00,259.00,11.00,16.00,16.00,6095445.28,2946.50
0.47,0.00,2568.00,4518.00,267.00,11.00,16.00,16.00,6247943.48,2930.30
0.48,0.00,2485.00,4594.00,274.00,11.00,16.00,16.00,6398693.39,2915.51
0.49,0.00,2400.00,4674.00,279.00,11.00,16.00,16.00,6548446.93,2902.01
0.49,0.00,2335.00,4733.00,285.00,10.00,17.00,16.00,6694135.25,2904.71
0.50,0.00,2267.00,4795.00,291.00,9.00,18.00,16.00,6836560.00,2922.19
0.51,0.00,2210.00,4849.00,294.00,9.00,18.00,16.00,6974801.05,2938.16
0.51,0.00,2139.00,4911.00,303.00,9.00,18.00,16.00,7110421.50,2952.73
0.52,0.00,2069.00,4974.00,310.00,9.00,18.00,16.00,7243797.84,2966.03
0.53,0.00,2012.00,5019.00,322.00,9.00,18.00,16.00,7372419.63,2978.18
0.53,0.00,1951.00,5073.00,329.00,8.00,17.00,18.00,7498049.40,2974.25
0.54,0.00,1910.00,5108.00,335.00,7.00,18.00,18.00,7618091.06,2985.68
0.55,0.00,1854.00,5156.00,343.00,6.00,19.00,18.00,7734980.09,3011.13
0.56,0.00,1796.00,5205.00,352.00,6.00,18.00,19.00,7849138.89,3019.35
0.56,0.00,1742.00,5245.00,366.00,6.00,18.00,19.00,7959451.02,3026.86
0.57,0.00,1700.00,5277.00,376.00,6.00,18.00,19.00,8065046.78,3033.71
0.58,0.00,1653.00,5317.00,383.00,4.00,18.00,21.00,8167535.23,3039.96
0.58,0.00,1602.00,5363.00,388.00,4.00,18.00,21.00,8268085.96,3045.67
0.59,0.00,1556.00,5403.00,394.00,4.00,18.00,21.00,8365964.96,3050.88
0.60,0.00,1506.00,5445.00,402.00,4.00,17.00,22.00,8461703.38,3040.61
0.60,0.00,1470.00,5471.00,412.00,4.00,17.00,22.00,8553082.26,3031.24
0.61,0.00,1421.00,5512.00,420.00,4.00,17.00,22.00,8642731.44,3022.69
0.62,0.00,1386.00,5537.00,430.00,4.00,17.00,22.00,8728396.66,3014.88
0.62,0.00,1342.00,5572.00,439.00,3.00,18.00,22.00,8811924.11,3022.77
0.63,0.00,1290.00,5617.00,446.00,3.00,18.00,22.00,8895000.65,3029.97
0.64,0.00,1245.00,5653.00,455.00,3.00,17.00,23.00,8976313.17,3021.53
0.65,0.00,1208.00,5680.00,465.00,3.00,16.00,24.00,9054661.81,2998.80
0.65,0.00,1180.00,5701.00,472.00,3.00,16.00,24.00,9129401.18,2978.04
0.66,0.00,1137.00,5739.00,477.00,3.00,16.00,24.00,9203396.66,2959.10
0.67,0.00,1112.00,5753.00,488.00,3.00,16.00,24.00,9273107.11,2941.80
0.67,0.00,1084.00,5777.00,492.00,3.00,16.00,24.00,9340404.56,2926.01
0.68,0.00,1044.00,5805.00,504.00,3.00,16.00,24.00,9406098.44,2911.60
0.69,0.00,1014.00,5831.00,508.00,2.00,17.00,24.00,9470026.60,2913.46
0.69,0.00,983.00,5853.00,517.00,2.00,17.00,24.00,9531740.69,2915.16
0.70,0.00,955.00,5866.00,532.00,2.00,17.00,24.00,9590079.71,2916.71
0.71,0.00,916.00,5900.00,537.00,2.00,16.00,25.00,9648490.07,2903.11
0.72,0.00,884.00,5927.00,542.00,1.00,15.00,27.00,9705913.79,2875.66
0.72,0.00,855.00,5945.00,553.00,1.00,15.00,27.00,9761083.99,2850.61
0.73,0.00,837.00,5951.00,565.00,1.00,15.00,27.00,9812392.44,2827.73
0.74,0.00,810.00,5964.00,579.00,1.00,15.00,27.00,9861224.20,2806.85
0.74,0.00,789.00,5972.00,592.00,1.00,13.00,29.00,9907042.00,2757.74
0.75,0.00,765.00,5989.00,599.00,1.00,13.00,29.00,9951457.99,2712.91
0.76,0.00,740.00,6001.00,612.00,1.00,13.00,29.00,9993842.09,2671.98
0.76,0.00,719.00,6013.00,621.00,1.00,12.00,30.00,10034369.75,2619.59
0.77,0.00,699.00,6024.00,630.00,1.00,12.00,30.00,10073050.94,2571.77
0.78,0.00,674.00,6043.00,636.00,1.00,11.00,31.00,10111247.01,2513.08
0.78,0.00,657.00,6056.00,640.00,1.00,11.00,31.00,10148098.50,2459.51
0.79,0.00,637.00,6073.00,643.00,1.00,11.00,31.00,10184322.38,2410.60
0.80,0.00,614.00,6083.00,656.00,1.00,11.00,31.00,10218921.33,2365.95
0.81,0.00,597.00,6095.00,661.00,1.00,11.00,31.00,10252335.97,2325.18
0.81,0.00,579.00,6105.00,669.00,1.00,11.00,31.00,10284367.96,2287.97
0.82,0.00,561.00,6121.00,671.00,1.00,11.00,31.00,10316038.19,2254.00
0.83,0.00,554.00,6120.00,679.00,1.00,11.00,31.00,10344823.86,2222.98
0.83,0.00,541.00,6125.00,687.00,1.00,11.00,31.00,10371875.56,2194.67
0.84,0.00,524.00,6138.00,691.00,1.00,11.00,31.00,10398544.85,2168.82
0.85,0.00,511.00,6144.00,698.00,1.00,11.00,31.00,10423813.00,2145.22
0.85,0.00,501.00,6150.00,702.00,1.00,11.00,31.00,10447801.02,2123.68
0.86,0.00,484.00,6165.00,704.00,1.00,11.00,31.00,10471971.58,2104.01
0.87,0.00,467.00,6176.00,710.00,1.00,8.00,34.00,10495707.92,2040.99
0.88,0.00,449.00,6189.00,715.00,1.00,8.00,34.00,10519347.99,1983.45
0.88,0.00,438.00,6189.00,726.00,1.00,8.00,34.00,10540947.04,1930.93
0.89,0.00,422.00,6198.00,733.00,1.00,8.00,34.00,10562033.33,1882.97
0.90,0.00,406.00,6211.00,736.00,1.00,7.00,35.00,10583252.25,1824.17
0.90,0.00,396.00,6213.00,744.00,1.00,7.00,35.00,10602939.60,1770.49
0.91,0.00,384.00,6220.00,749.00,1.00,7.00,35.00,10621979.07,1721.49
0.92,0.00,370.00,6222.00,761.00,1.00,7.00,35.00,10639675.26,1676.75
0.92,0.00,358.00,6227.00,768.00,1.00,7.00,35.00,10656594.69,1635.91
0.93,0.00,348.00,6227.00,778.00,1.00,7.00,35.00,10672053.62,1598.62
0.94,0.00,334.00,6236.00,783.00,1.00,7.00,35.00,10687529.84,1564.58
0.94,0.00,329.00,6235.00,789.00,1.00,7.00,35.00,10701519.77,1533.50
0.95,0.00,326.00,6232.00,795.00,1.00,6.00,36.00,10713851.09,1490.11
0.96,0.00,318.00,6231.00,804.00,1.00,6.00,36.00,10724967.57,1450.50
0.97,0.00,305.00,6240.00,808.00,1.00,6.00,36.00,10736476.38,1414.33
0.97,0.00,296.00,6240.00,817.00,1.00,6.00,36.00,10746991.61,1381.32
0.98,0.00,290.00,6237.00,826.00,1.00,6.00,36.00,10756148.31,1351.18
0.99,0.00,281.00,6240.00,832.00,1.00,5.00,37.00,10764965.15,1308.64
0.99,0.00,272.00,6236.00,845.00,1.00,5.00,37.00,10772419.86,1269.80
1.00,0.00,260.00,6242.00,851.00,1.00,4.00,38.00,10780132.40,1219.32
1.01,0.00,256.00,6237.00,860.00,1.00,4.00,38.00,10786427.83,1173.24
1.01,0.00,252.00,6236.00,865.00,1.00,4.00,38.00,10792029.60,1131.17
1.02,0.00,248.00,6227.00,878.00,1.00,4.00,38.00,10795795.66,1092.77
1.03,0.00,243.00,6216.00,894.00,1.00,4.00,38.00,10797584.05,1057.71
1.03,0.00,236.00,6211.00,906.00,1.00,4.00,38.00,10798466.79,1025.70
1.04,0.00,230.00,6209.00,914.00,1.00,4.00,38.00,10798972.81,996.48
1.05,0.00,226.00,6206.00,921.00,1.00,3.00,39.00,10798984.49,954.78
1.06,0.00,218.00,6209.00,926.00,1.00,3.00,39.00,10799445.82,916.71
1.06,0.00,213.00,6207.00,933.00,1.00,3.00,39.00,10799566.94,881.95
1.07,0.00,209.00,6207.00,937.00,1.00,3.00,39.00,10799677.66,850.23
1.08,0.00,206.00,6201.00,946.00,1.00,3.00,39.00,10798877.36,821.26
1.08,0.00,200.00,6202.00,951.00,1.00,3.00,39.00,10798296.50,794.82
